Year,DVMT,VMT,HGF
1994,331237115.204,120901547049.46,6535496000
1995,350159975.34,127808390999.1,6744062000
1996,355170400.01,129637196003.65,6819437000
1997,365117197.4,133267777051,6953162000
1998,374467872.481,136680773455.565,7187603000
1999,385940361.683,140868232014.295,7406051000
2000,410567985.287078,149857314629.783,7593620000
2001,468573594.41,171029361959.65,7713972000
2002,489536177.337,178680704728.005,8000597000
2003,508607851.268,185641865712.82,8180597000
2004,537494319.11,196185426475.15,8549427000
2005,550614540.132,200974307148.18,8692067000
2006,558308385.541,203782560722.465,8697984000
2007,562798031.757,205421281591.305,8616223000
2008,542334375.52,197952047064.8,8263347993
2009,538088985.656,196402479764.44,8321683510
2010,536315478.921,195755149806.165,8246198243
2011,525630012.707,191854954638.055,8152701645
2012,522879155.177,190850891639.605,8151659000
2013,527950179.655,192701815574.075,8247313000
2014,550795629.097,201040404620.405,8434866122
2015,566360174.768,206721463790.32,8801605498
2016,588062806.352,214642924318.48,9064443000
